"","artists","track_name","duration_ms","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"12662","Chorus - Hercules;Lillias White;Cheryl Freeman;LaChanze;Roz Ryan;Vaneese Thomas;Tawatha Agee;Disney","Zero To Hero",140573,65,0.474,0.82,0,-7.699,1,0.243,0.493,0,0.0978,0.697,164.718
"12663","Roger Bart;Disney","Go the Distance",194160,65,0.275,0.126,9,-17.077,1,0.033,0.879,0.000799,0.0791,0.21,88.626
"12664","DJ Fresh","Gold Dust - Radio Edit",192446,65,0.451,0.948,0,-0.74,1,0.147,0.255,0,0.392,0.295,176.985
"12665","ILLENIUM;Sueco;Trippie Redd","Story Of My Life (feat. Trippie Redd)",191124,65,0.521,0.892,3,-4.029,1,0.0433,0.0539,0,0.117,0.369,96.991
"12666","ILLENIUM;Excision;I Prevail","Feel Something (With I Prevail)",221000,65,0.428,0.877,5,-4.722,0,0.0835,0.00153,0.00372,0.0943,0.113,75.518
"12667","Zaeden","socha na tha",144250,65,0.489,0.752,2,-5.422,1,0.0372,0.665,0.000669,0.55,0.179,192.133
"12668","Unknown Brain;Chris Linton","Superhero",179224,65,0.667,0.937,8,-4.053,0,0.0709,0.0271,1.27e-05,0.318,0.22,75.015
"12669","Vicetone","Walk Thru Fire",194482,65,0.639,0.664,5,-4.926,1,0.0357,0.329,1.53e-06,0.382,0.351,116.028
"12670","The Chainsmokers","Riptide",171359,65,0.717,0.734,5,-5.712,1,0.0426,0.28,0.000101,0.147,0.894,91.014
"12671","John De Sohn;LIAMOO","Forever Young",167911,65,0.653,0.621,8,-6.045,1,0.0308,0.178,0,0.0952,0.584,121.98
"12672","Alesso;Liam Payne","Midnight (feat. Liam Payne)",220140,65,0.587,0.648,11,-6.927,0,0.0439,0.0561,0,0.115,0.281,144.028
"12673","Gryffin;Jason Ross;Calle Lehmann","After You (feat. Calle Lehmann)",224569,65,0.511,0.804,4,-3.808,1,0.0433,0.0619,0,0.0873,0.484,145.055
"12674","Cartoon;Coleman Trapp","Why We Lose",197485,65,0.423,0.92,4,-3.174,0,0.0428,0.00123,0.00992,0.329,0.0951,174.976
"12675","Alesso;CORSAK","Going Dumb",168601,65,0.834,0.678,6,-6.242,0,0.0515,0.0546,0.263,0.103,0.551,121.995
"12676","Gryffin;Audrey Mika","Safe With Me (with Audrey Mika)",205164,65,0.497,0.757,11,-4.189,1,0.127,0.0449,0,0.119,0.507,169.902
"12677","Kygo;Sasha Alex Sloan","I'll Wait",215360,65,0.611,0.651,1,-6.973,1,0.0589,0.144,1.7e-05,0.105,0.351,122.983
"12678","John De Sohn;Rasmus Hagen","Love You Better",170893,65,0.733,0.785,11,-7.496,1,0.0416,0.0934,0.00135,0.101,0.796,102.987
"12679","Gaullin","Moonlight",173066,65,0.813,0.761,10,-5.687,0,0.085,0.0529,0.0119,0.337,0.29,124.957
"12680","Zedd;Jasmine Thompson","Funny",221465,65,0.664,0.66,5,-4.646,1,0.0243,0.512,0,0.26,0.355,99.946
"12681","Otnicka;Duke Luke","Peaky Blinder",159130,65,0.624,0.734,5,-7.338,0,0.176,0.33,0.0549,0.326,0.563,184.051
"12682","Alan Walker;Sorana","Lost Control",222320,65,0.736,0.555,4,-4.689,1,0.0757,0.0345,0.000157,0.0798,0.323,91.997
"12683","Alan Walker;Torine","Hello World",171585,65,0.651,0.646,10,-6.548,0,0.0408,0.00738,3.19e-05,0.193,0.124,104.139
"12684","Alan Walker;Noah Cyrus;Digital Farm Animals;Juliander","All Falls Down (feat. Juliander)",198880,65,0.655,0.672,1,-4.966,1,0.0581,0.253,0,0.312,0.675,98.005
"12685","Jeremy Zucker;Bea Miller","comethru (with Bea Miller)",181626,65,0.757,0.192,0,-11.842,1,0.0515,0.572,0,0.606,0.595,94.024
"12686","Fly By Midnight","Love Me Like a Friend",202266,65,0.713,0.764,6,-5.57,0,0.0294,0.0718,0,0.0708,0.962,125.052
"12687","Jeremy Zucker","Cry with you",217040,65,0.516,0.323,2,-9.688,1,0.0716,0.489,4.82e-06,0.189,0.386,159.861
"12688","Valley","Oh shit…are we in love?",155384,65,0.697,0.515,6,-6.335,1,0.0502,0.0576,1.81e-06,0.294,0.37,95.086
"12689","Bazzi;21 Savage","Focus (feat. 21 Savage)",155133,65,0.752,0.703,1,-5.268,1,0.0969,0.00694,0,0.143,0.538,77.021
"12690","Clara Mae","Not Sad Anymore",195563,65,0.675,0.523,1,-7.598,1,0.0444,0.761,3.17e-06,0.109,0.376,94.025
"12691","EZI","Take My Breath Away",158446,65,0.718,0.616,8,-6.598,1,0.0901,0.0741,0.00287,0.367,0.354,102.981
"12692","DVBBS;Borgeous","Tsunami",236706,65,0.699,0.839,4,-5.353,0,0.0481,0.0483,0.655,0.0897,0.264,128.026
"12693","James Blake;SZA","Coming Back (feat. SZA)",195905,65,0.653,0.496,10,-7.262,0,0.0868,0.625,0.274,0.151,0.102,86.013
"12694","Nightmares On Wax","You Wish",210466,65,0.774,0.244,9,-9.748,0,0.0299,0.72,0.915,0.379,0.421,103.464
"12695","Dillon Francis","Goodies",121904,65,0.844,0.865,5,-3.73,0,0.0431,0.0196,0.00979,0.0978,0.679,126.008
"12696","Everything But The Girl","Missing - Todd Terry Remix / Radio Edit",235026,65,0.739,0.853,9,-6.539,0,0.0296,0.0217,0.00357,0.057,0.652,123.509
"12697","XXXTENTACION;Ski Mask The Slump God","FUXK (feat. Ski Mask the Slump God)",160506,65,0.767,0.71,11,-7.177,0,0.352,0.0887,3.41e-06,0.106,0.244,120
"12698","XXXTENTACION","I don’t let go",121630,65,0.797,0.293,5,-7.479,1,0.08,0.591,0.0724,0.148,0.478,80.035
"12699","XXXTENTACION;Ski Mask The Slump God","Off the Wall!",203493,65,0.834,0.374,1,-10.173,1,0.333,0.123,0,0.134,0.545,140.001
"12700","6ix9ine;Tory Lanez","KIKA",136031,65,0.745,0.715,1,-3.368,0,0.246,0.128,0,0.182,0.342,94.511
"12701","iamjakehill","Rip X",159466,65,0.67,0.366,1,-12.021,1,0.229,0.415,0,0.337,0.649,63.116
"12702","My Chemical Romance","Disenchanted",295000,65,0.343,0.692,2,-3.926,1,0.0355,0.00218,0,0.112,0.153,174.07
"12703","Lil Peep;Lil Tracy","witchblades",149360,65,0.634,0.54,8,-7.002,1,0.0777,0.0223,0,0.302,0.543,143.968
"12704","Lil Peep;Wicca Phase Springs Eternal","absolute in doubt",227066,65,0.733,0.655,4,-7.574,0,0.0472,0.0246,0,0.156,0.265,138.023
"12705","Paramore","crushcrushcrush",189373,65,0.631,0.793,1,-4.086,0,0.0468,0.000218,5.65e-05,0.0976,0.648,136.96
"12706","My Chemical Romance","Cemetery Drive",188066,65,0.548,0.888,1,-4.861,0,0.0362,0.000902,0.00172,0.0943,0.655,115.993
"12707","Nusrat Fateh Ali Khan;Rahat Fateh Ali Khan","Mere Rashke Qamar",220382,65,0.718,0.83,4,-5.488,0,0.0505,0.404,2.5e-05,0.124,0.771,105.012
"12708","Matt Hartke","London's Song",178573,65,0.562,0.266,4,-14.852,1,0.0409,0.928,0.000626,0.0983,0.493,88.968
"12709","Harrison Storm","Feeling You",201195,65,0.644,0.501,1,-9.374,0,0.0302,0.664,0.164,0.124,0.158,103.988
"12710","Garrett Kato","I'll Be Around",186954,65,0.659,0.302,1,-12.283,1,0.0296,0.723,1.51e-05,0.111,0.331,79.024
"12711","Pomplamoose","Bust Your Knee Caps - Johnny Don't Leave Me",185316,65,0.408,0.563,9,-5.97,0,0.0374,0.0473,0,0.0781,0.558,118.543
"12712","Luca;Nina Carr","Fever",173411,65,0.61,0.554,2,-8.301,0,0.13,0.428,0.000322,0.157,0.231,106.818
"12713","M83","Outro",247026,65,0.162,0.256,2,-11.296,1,0.0346,0.0332,0.0923,0.0621,0.0784,108.893
"12714","Lonely in the Rain;Panama","Feel This Way",220645,65,0.757,0.405,10,-13.709,1,0.117,0.528,0.126,0.1,0.0537,124.014
"12715","Lartiste;Caroliina","Mafiosa (feat. Caroliina)",193700,65,0.867,0.724,6,-4.266,1,0.0978,0.258,0,0.0527,0.757,128.97
"12716","Vanessa Paradis;-M-","La Seine - Extrait de la bande originale un monstre à Paris",167520,65,0.736,0.667,2,-7.901,0,0.0307,0.43,4.42e-05,0.0992,0.4,113.062
"12717","Saco;Sebastiën","Take Me Home",171578,65,0.746,0.747,11,-8.217,0,0.0353,0.579,0.000197,0.124,0.668,113.932
"12718","L'Impératrice","Agitations tropicales",248892,65,0.76,0.401,1,-9.537,0,0.0674,0.564,0.259,0.0977,0.619,115.989
"12719","Soolking;Dadju","Meleğim",220280,65,0.682,0.697,3,-4.276,0,0.0757,0.188,0,0.334,0.57,95.012
"12720","MHD","Afro Trap Pt. 7 (La puissance)",140077,65,0.97,0.806,8,-5.628,0,0.298,0.0955,0,0.133,0.815,120.003
"12721","Dr. Dre;Snoop Dogg;Akon","Kush - Main",235120,65,0.444,0.866,7,-6.217,1,0.111,0.000622,4.72e-05,0.105,0.375,94.968
"12722","Snoop Dogg;The Doors","Riders On The Storm - Fredwreck Remix",382240,65,0.878,0.786,11,-5.273,0,0.152,0.416,3.1e-05,0.122,0.831,101.984
"12723","Arctic Monkeys","No Buses",197320,65,0.481,0.524,4,-9.051,1,0.0369,0.155,0.000147,0.0523,0.425,101.883
"12724","Arctic Monkeys","Love is a Laserquest",191426,65,0.349,0.662,11,-6.873,1,0.0402,0.00197,0.908,0.136,0.554,169.926
"12725","The Strokes","12:51",153133,65,0.451,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.592,145.056
"12726","Wolfmother","Woman",176306,65,0.219,0.952,2,-3.621,1,0.176,5.1e-05,0.0989,0.157,0.172,112.886
"12727","The Vines","Get Free",126573,65,0.502,0.978,7,-3.278,1,0.0649,0.000163,1.27e-06,0.287,0.603,138.811
"12728","Hans Zimmer","Day One",199422,65,0.311,0.0173,9,-27.788,0,0.0348,0.927,0.964,0.0727,0.0658,95.985
"12729","Zedd;Hayley Williams","Stay The Night - Featuring Hayley Williams Of Paramore",217346,65,0.596,0.738,8,-3.109,1,0.0411,0.109,0,0.0947,0.461,127.961
"12730","Robin Schulz;KIDDO","All We Got (feat. KIDDO)",190218,65,0.504,0.76,4,-4.246,1,0.0426,0.286,0,0.151,0.64,183.933
"12731","Robin Schulz;Alida","In Your Eyes (feat. Alida)",208222,65,0.57,0.672,8,-5.888,0,0.0716,0.172,1.04e-06,0.0768,0.461,120.018
"12732","Neptunica;Matthew Clanton","Love Is Gone",157894,65,0.629,0.815,7,-6.046,1,0.0683,0.016,0.000153,0.236,0.185,152.014
"12733","Topic;A7S;HUGEL","Breaking Me - HUGEL Remix",171904,65,0.85,0.585,10,-5.229,0,0.0488,0.0101,7.79e-06,0.261,0.77,126
"12734","Mastodon","Blood and Thunder",228586,65,0.364,0.935,2,-6.548,1,0.0724,8.58e-06,0.729,0.0317,0.478,92.717
"12735","Pantera","Domination",305293,65,0.372,0.888,2,-5.88,1,0.0943,0.000211,0.00442,0.115,0.555,141.374
"12736","Five Finger Death Punch","Wash It All Away",224906,65,0.485,0.987,4,-3.1,1,0.0738,2.08e-05,0,0.267,0.272,123.576
"12737","Pantera","I'm Broken",264800,65,0.419,0.878,7,-6.352,1,0.0553,0.000594,0.559,0.139,0.666,147.385
"12738","Five Finger Death Punch","Living The Dream",214542,65,0.416,0.988,0,-3.466,1,0.113,0.000839,0,0.137,0.47,174.995
"12739","Five Finger Death Punch","AfterLife",243560,65,0.472,0.989,6,-4.214,0,0.0597,0.000655,4.87e-06,0.341,0.327,93.985
"12740","Five Finger Death Punch","Judgment Day",292804,65,0.528,0.929,9,-4.874,1,0.073,0.000418,0,0.258,0.509,148.089
"12741","Linkin Park","Runaway",183973,65,0.636,0.884,7,-4.743,1,0.0584,0.0142,0,0.253,0.446,109.16
"12742","Nirvana","Love Buzz",215203,65,0.479,0.865,5,-8.281,0,0.0339,3.1e-05,0.228,0.182,0.77,137.902
"12743","Seether","Careless Whisper",296973,65,0.469,0.943,2,-4.196,1,0.102,6.07e-05,0.00547,0.0717,0.358,134.031
"12744","Alice In Chains","Down In A Hole (2022 Remaster)",338226,65,0.357,0.795,6,-5.909,1,0.0337,0.0134,0.00013,0.111,0.416,97.171
"12745","Creed","My Own Prison",298800,65,0.505,0.778,10,-4.778,1,0.0398,0.0277,0.00275,0.115,0.284,140.493
"12746","Highly Suspect","Lydia",242560,65,0.417,0.706,6,-4.652,0,0.0945,0.00933,0.000572,0.474,0.512,127.884
"12747","Pearl Jam","Elderly Woman Behind the Counter in a Small Town - Remastered",196186,65,0.281,0.493,7,-9.461,1,0.0284,0.0519,9.15e-06,0.101,0.167,60.772
"12748","Live","I Alone",231133,65,0.396,0.817,6,-7.282,1,0.045,0.00228,0.00417,0.372,0.0992,90.264
"12749","The Prophet","Wanna Play?",201451,65,0.569,0.996,5,-0.45,1,0.224,0.198,0.0114,0.707,0.461,100.02
"12750","2 Brothers On The 4th Floor","Dreams (Will Come Alive)",264000,65,0.702,0.953,7,-6.347,0,0.0473,0.0113,0.00193,0.266,0.507,134.027
"12751","Mr. Big","Wild World - 2009 Remastered Version",208560,65,0.573,0.722,5,-6.518,1,0.0295,0.182,0,0.29,0.59,144.209
"12752","Metallica","The Day That Never Comes",476266,65,0.334,0.982,4,-2.293,0,0.0619,9.11e-05,0.149,0.106,0.501,126.883
"12753","Iron Maiden","Wasting Love - 2015 Remaster",351026,65,0.324,0.667,4,-5.373,0,0.0321,0.00562,3.56e-05,0.0873,0.29,142.503
"12754","Boston","Amanda",256200,65,0.449,0.424,7,-14.06,1,0.0323,0.32,1.69e-06,0.107,0.259,125.494
"12755","Def Leppard","Pour Some Sugar On Me",267306,65,0.267,0.953,1,-4.899,0,0.096,0.00211,0,0.283,0.568,84.989
"12756","Metallica","Battery",312360,65,0.481,0.928,11,-8.799,0,0.0672,0.00022,0.558,0.106,0.427,96.699
"12757","Megadeth","Paranoid",152600,65,0.355,0.973,4,-7.004,0,0.071,0.000359,0.154,0.142,0.628,187.385
"12758","Ghost","Year Zero",350186,65,0.469,0.705,7,-5.134,1,0.0458,0.0304,0.0155,0.659,0.137,122.025
"12759","Led Zeppelin","All My Love - Remaster",353720,65,0.554,0.791,7,-8.326,1,0.0288,0.113,1.76e-05,0.166,0.697,91.108
"12760","Iron Maiden","Aces High - 2015 Remaster",271906,65,0.3,0.936,2,-5.399,1,0.0456,0.0337,0.021,0.158,0.756,133.065
"12761","Def Leppard","Rock Of Ages",247828,65,0.706,0.785,11,-7.666,0,0.041,0.00802,0.0319,0.195,0.636,105.893
"12762","Ghost","Dance Macabre",219720,65,0.619,0.696,7,-6.269,0,0.0315,1.89e-05,0.00555,0.38,0.727,125.986
"12763","Airbourne","Too Much, Too Young, Too Fast",226706,65,0.588,0.873,2,-4.011,1,0.0518,0.00122,0.00122,0.225,0.398,114.03
"12764","Ozzy Osbourne","Shot in the Dark",256293,65,0.581,0.791,6,-7.262,1,0.0324,0.00835,6.02e-05,0.142,0.619,123.887
"12765","Aerosmith","Hole In My Soul",370093,65,0.465,0.701,0,-4.809,1,0.0268,0.00506,0,0.207,0.216,75.427
"12766","Obie Trice;Dr. Dre","Shit Hits The Fan",292013,65,0.786,0.9,1,-0.839,1,0.205,0.0262,0.0235,0.306,0.627,91.984
"12767","Rakim","When I B On Tha Mic",222933,65,0.836,0.484,2,-7.332,1,0.327,0.0454,0,0.0557,0.839,95.941
"12768","N.W.A.","Chin Check",221373,65,0.906,0.775,2,-5.775,1,0.268,0.0831,2.74e-05,0.15,0.838,100.054
"12769","Warren G;Nate Dogg;The Game","Party We Will Throw Now!",209412,65,0.934,0.562,4,-4.609,0,0.24,0.0476,1.31e-06,0.0608,0.712,96.792
"12770","Nas","It Ain't Hard to Tell",202106,65,0.69,0.729,11,-5.819,0,0.221,1.7e-05,0.0431,0.152,0.357,91.376
"12771","The Notorious B.I.G.","One More Chance / Stay with Me - Remix; 2007 Remaster",268706,65,0.725,0.68,0,-6.037,1,0.224,0.149,0,0.127,0.695,90.964
"12772","Cypress Hill;Barron Ricks","Tequila Sunrise",257746,65,0.547,0.63,10,-8.772,0,0.494,0.0122,0.00225,0.14,0.556,192.736
"12773","A Tribe Called Quest","Check the Rhime",216693,65,0.881,0.361,11,-14.728,0,0.237,0.0502,0.00458,0.246,0.799,96.43
"12774","Fugazi","Waiting Room",173266,65,0.618,0.716,6,-8.224,0,0.0367,0.00473,0.822,0.179,0.545,92.174
"12775","Basement","Covet",227340,65,0.428,0.799,4,-6.265,1,0.0468,0.00139,0.0742,0.0788,0.228,139.052
"12776","Refuzion","Around the World (La la La)",153328,65,0.602,0.948,9,-3.372,0,0.0502,0.0396,1.43e-06,0.186,0.812,149.933
"12777","D-Block & S-te-Fan;DJ Isaac","Harder State Of Mind",236800,65,0.515,0.94,9,-2.452,0,0.0478,0.0044,1.06e-05,0.23,0.284,150.051
"12778","DIVINE","Gunehgar",163404,65,0.643,0.906,1,-4.15,1,0.31,0.105,0,0.861,0.541,94.259
"12779","Emiway Bantai","GRIND",175449,65,0.848,0.735,1,-4.661,1,0.0445,0.291,0,0.0713,0.57,98.973
"12780","Anirudh Ravichander","Porkanda Singam (EDM Version) [From ""Vikram""]",149433,65,0.685,0.755,11,-6.045,0,0.0476,0.102,0.194,0.159,0.422,158.932
"12781","Anirudh Ravichander","Sandhanam Theme - Background Score",106495,65,0.619,0.84,0,-5.427,1,0.0515,0.082,0.275,0.28,0.0805,105.987
"12782","Anirudh Ravichander;Ravi G","Porkanda Singam",198000,65,0.527,0.591,5,-7.632,0,0.0282,0.626,0.00798,0.385,0.543,119.932
"12783","Hiphop Tamizha","Sakkarakatti",189358,65,0.607,0.782,1,-4.179,1,0.0856,0.305,0,0.062,0.747,64.935
"12784","Anirudh Ravichander","Wasted",182608,65,0.651,0.827,10,-5.108,0,0.0319,0.00162,0.0902,0.0803,0.851,114.918
"12785","The Landers","Rule Over (Putt Jattan Dey)",140800,65,0.681,0.549,5,-10.269,0,0.399,0.66,0,0.0936,0.549,106.652
"12786","Bhalwaan;Signature By SB","Priceless",107755,65,0.665,0.572,5,-9.611,0,0.262,0.37,0,0.282,0.634,146.9
"12787","Akhil","Bachalo",165108,65,0.756,0.538,1,-6.625,0,0.0485,0.654,0,0.172,0.516,92.023
"12788","Sidhu Moose Wala;Mr. Capone-E","Bloodlust (feat. Mr. Capone-E)",159085,65,0.552,0.667,9,-8.024,1,0.333,0.0381,0,0.0777,0.348,174.889
"12789","AP Dhillon;Gurinder Gill;Money Musik;AR Paisley","Takeover",209142,65,0.788,0.752,1,-3.823,1,0.0843,0.0711,0,0.61,0.236,140.032
"12790","Vishal Dadlani","Jee Le Zaraa",215202,65,0.584,0.698,4,-6.61,0,0.0376,0.447,0,0.0699,0.436,79.993
"12791","Tegi Pannu;Manni Sandhu","Fully Loaded",148858,65,0.783,0.607,9,-7.268,0,0.133,0.091,0,0.0986,0.862,92.109
"12792","Benny Dayal;Shalmali Kholgade;Pritam","Lat Lag Gayee",280369,65,0.79,0.892,10,-4.038,0,0.0404,0.228,1.18e-06,0.206,0.896,131.991
"12793","Badshah","She Move It Like",181764,65,0.832,0.477,0,-6.949,1,0.0481,0.00725,6.47e-05,0.205,0.844,101.997
"12794","Badshah;Payal Dev","Sajna, Say Yes To The Dress",158055,65,0.633,0.776,9,-3.839,0,0.173,0.296,0,0.225,0.889,107.636
"12795","Anne-Marie","Ciao Adios",199773,65,0.694,0.853,7,-3.986,1,0.0934,0.136,0,0.322,0.501,106.098
"12796","Sandro Cavazza;Georgia Ku","Love To Lose",177731,65,0.601,0.741,0,-5.981,1,0.127,0.0467,0,0.244,0.71,195.943
"12797","Edward Maya;Vika Jigulina","Stereo Love - Edit",184015,65,0.801,0.786,9,-3.781,1,0.0322,0.0439,0.0346,0.104,0.549,127.061
"12798","Keanu Silva;Jhn McFly;Marissa","Stranger",128000,65,0.724,0.851,9,-5.079,0,0.129,0.115,0.00231,0.114,0.439,120.042
"12799","Nathan Dawe;KSI","Lighter (feat. KSI)",182439,65,0.703,0.837,8,-3.606,1,0.0395,0.0214,4.45e-05,0.104,0.356,124.953
"12800","Pritam;Javed Ali;Irshan Ashraf;Shadab","Tu Hi Haqeeqat",302026,65,0.705,0.744,4,-5.416,0,0.0341,0.582,0,0.2,0.706,115.959
"12801","KSW;Neeraj Shridhar;Pritam","Tum Mile - Lofi Flip",242103,65,0.711,0.579,0,-11.059,1,0.0363,0.218,0.053,0.32,0.21,114.96
"12802","Pritam;Benny Dayal;Shefali Alvares","Badtameez Dil",252760,65,0.806,0.932,2,-2.228,0,0.0684,0.24,0,0.216,0.792,106.021
"12803","Pritam;KK;Bob","Make Some Noise For The Desi Boyz",244067,65,0.692,0.954,2,-3.93,0,0.0915,0.0188,0,0.151,0.89,141.98
"12804","Jasleen Royal","Nit Nit",246136,65,0.442,0.412,10,-10.675,1,0.0377,0.781,0.0237,0.15,0.235,176.019
"12805","Roshan Sebastian;Kevin Jason","Poovukkul Olindhirukkum - Jeans",130815,65,0.694,0.339,7,-13.464,1,0.0378,0.514,0,0.133,0.221,89.95
"12806","Orla Gartland","Why Am I Like This?",212713,65,0.63,0.423,2,-7.705,1,0.0318,0.507,2.24e-06,0.219,0.319,90.019
"12807","Elliott Smith","Between The Bars",141280,65,0.522,0.074,7,-23.625,0,0.0598,0.929,0.765,0.108,0.342,135.298
"12808","Rammstein","Links 2 3 4",216733,65,0.624,0.904,4,-4.774,1,0.0479,0.00112,0.0231,0.604,0.649,130.153
"12809","Rammstein","Was ich liebe",269045,65,0.571,0.665,2,-4.953,1,0.044,0.001,0.0621,0.0874,0.582,172.005
"12810","Rammstein","Asche zu Asche",231449,65,0.563,0.906,9,-7.503,1,0.0734,0.00164,0.0179,0.0722,0.71,169.967
"12811","Rammstein","Adieu",278211,65,0.609,0.718,9,-5.809,1,0.0412,0.0261,0.00173,0.275,0.189,125.048
"12812","Rob Zombie","Superbeast",220266,65,0.518,0.975,8,-4.425,1,0.0575,0.000136,0.827,0.42,0.32,154.059
"12813","Mariya Takeuchi","Plastic Love",294493,65,0.648,0.875,2,-5.141,0,0.034,0.0747,9.64e-05,0.196,0.857,102.517
"12814","『ユイカ』","好きだから。",298663,65,0.607,0.498,0,-6.363,1,0.0311,0.239,4.04e-06,0.313,0.714,164.993
"12815","Masayuki Suzuki;鈴木愛理","DADDY ! DADDY ! DO !",254640,65,0.684,0.815,8,-3.826,0,0.0496,0.322,0,0.12,0.819,138.104
"12816","YOASOBI","あの夢をなぞって",242666,65,0.537,0.793,8,-3.446,1,0.04,0.217,0.000361,0.143,0.73,180.029
"12817","YOASOBI","ミスター",187000,65,0.732,0.933,1,-3.51,0,0.0548,0.0674,3.67e-05,0.202,0.611,119.971
"12818","ヨルシカ","ただ君に晴れ",198971,65,0.679,0.834,5,-3.223,1,0.032,0.343,5.74e-06,0.119,0.962,139.996
"12819","King Gnu","BOY",231385,65,0.619,0.802,0,-6.618,1,0.0629,0.0831,0,0.361,0.535,109.982
"12820","MAISONdes;和ぬか;asmi","ヨワネハキ",166966,65,0.78,0.814,7,-3.617,1,0.0291,0.0432,8.28e-05,0.168,0.59,108.025
"12821","flipturn","August",261734,65,0.45,0.602,6,-4.301,1,0.0273,0.0892,0.00625,0.107,0.16,172.161
"12822","Shierro","Quiet Storm",124675,65,0.613,0.526,7,-9.243,0,0.031,0.669,0.933,0.168,0.108,154.082
"12823","Bill Charlap Trio","Day Dream",373840,65,0.432,0.0951,1,-23.511,1,0.0388,0.909,0.89,0.117,0.093,100.265
"12824","Hara Noda","The Beauty of Everyday Things",203096,65,0.643,0.28,10,-13.774,1,0.0332,0.965,0.867,0.107,0.0865,108.046
"12825","Duke Ellington;John Coltrane","In A Sentimental Mood",255226,65,0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.229
"12826","Yuvan Shankar Raja;Sid Sriram","High On Love",240169,65,0.627,0.779,4,-4.944,0,0.0392,0.214,9.34e-06,0.112,0.619,149.929
"12827","Yuvan Shankar Raja;Tanvi Shah","Iragai Poley",317739,65,0.875,0.539,3,-8.364,0,0.0367,0.0586,0.0047,0.116,0.305,115.004
"12828","Yuvan Shankar Raja","Pogadhe",330400,65,0.658,0.407,4,-12.007,1,0.0364,0.727,1.26e-06,0.139,0.137,80.164
"12829","JEON SOMI","Anymore",197701,65,0.731,0.549,6,-6.749,0,0.0329,0.0157,9.14e-06,0.083,0.45,137.932
"12830","BTS","War of Hormone",265602,65,0.612,0.993,9,-1.895,1,0.24,0.116,0,0.307,0.488,98.004
"12831","BTS","Spine Breaker",238529,65,0.679,0.927,0,-1.058,1,0.15,0.164,0,0.437,0.861,93.989
"12832","I-LAND","Into the I-LAND",217322,65,0.522,0.916,1,-4.766,1,0.0786,0.016,0,0.149,0.549,122.046
"12833","Hwa Sa","I`m a B",167333,65,0.711,0.77,10,-4.724,0,0.0826,0.135,8.9e-06,0.18,0.927,139.968
"12834","BTS","Crystal Snow",323360,65,0.618,0.766,3,-4.507,1,0.0323,0.117,0,0.121,0.448,113.997
"12835","BTS","Intro: Serendipity",139971,65,0.477,0.581,8,-8.795,1,0.119,0.523,0,0.201,0.282,129.571
"12836","j-hope","Intro",58871,65,0.607,0.355,5,-14.867,1,0.828,0.948,0.000281,0.706,0.964,125.308
"12837","j-hope","Blue Side (Outro)",90539,65,0.512,0.394,9,-10.202,0,0.0263,0.0149,0.901,0.309,0.083,80.522
"12838","Gaho","시작",202440,65,0.591,0.818,4,-3.532,1,0.073,0.172,0,0.126,0.574,108.107
"12839","SEVENTEEN","Home",203731,65,0.741,0.547,9,-5.029,1,0.253,0.427,0,0.0931,0.615,87.977
"12840","KAI","Peaches",198080,65,0.633,0.775,6,-3.747,1,0.0413,0.348,0,0.612,0.486,134.093
"12841","BTS","Autumn Leaves",267150,65,0.619,0.804,10,-3.301,0,0.0424,0.0135,0,0.127,0.314,104.978
"12842","EVERGLOW","Pirate",210013,65,0.683,0.685,7,-5.381,1,0.0425,0.00195,0,0.0582,0.381,129.993
"12843","J Balvin;Dua Lipa;Bad Bunny;Tainy","Un Día (One Day)",231815,65,0.572,0.634,6,-10.599,0,0.0617,0.00547,0,0.129,0.432,168.136
"12844","Bad Bunny;Drake","MIA",210367,65,0.816,0.538,6,-6.354,0,0.0617,0.0142,0.000496,0.099,0.156,97.054
"12845","Don Omar","Zumba",263973,65,0.718,0.892,9,-3.494,0,0.0404,0.00175,0.0145,0.138,0.828,124.98
"12846","Daddy Yankee;Myke Towers;Jhayco","SÚBELE EL VOLUMEN",223366,65,0.83,0.623,6,-4.056,1,0.0801,0.0219,0,0.0812,0.614,101.036
"12847","D’MASIV","Cinta Ini Membunuhku",243706,65,0.451,0.51,0,-4.727,1,0.0266,0.0126,0,0.271,0.309,145.944
"12848","告五人","好不容易 (《華燈初上》片尾曲)",295466,65,0.382,0.543,4,-5.938,0,0.0345,0.313,2.1e-05,0.268,0.166,173.652
"12849","Eric Chou","你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",287306,65,0.439,0.477,10,-5.638,1,0.0307,0.643,0,0.114,0.535,159.819
"12850","Crowd Lu","刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲",320165,65,0.425,0.201,10,-11.961,1,0.0373,0.873,0,0.111,0.267,136.328
"12851","Eric Chou","你不屬於我 - 《比悲傷更悲傷的故事》影集版片尾曲",322266,65,0.358,0.391,9,-8.979,1,0.0316,0.856,0.00232,0.0971,0.284,75.168
"12852","Escape the Fate","One For the Money",199950,65,0.525,0.964,5,-3.451,0,0.0571,0.000328,5.5e-06,0.0527,0.385,90.013
